=> GET RESOURCES : 10/13/2015 5:43:38 PM -> Menu ID : 5011, rID : 0, Time Elapsed : 28
=> GET RESOURCES : 10/13/2015 5:43:40 PM -> Menu ID : 5012, rID : 9750, Time Elapsed : 286
=> GET RESOURCES : 10/13/2015 5:43:49 PM -> Menu ID : 5011, rID : 0, Time Elapsed : 28
=> GET RESOURCES : 10/13/2015 5:43:51 PM -> Menu ID : 5012, rID : 9749, Time Elapsed : 511
=> GET RESOURCES : 10/13/2015 5:43:58 PM -> Menu ID : 4, rID : 0, Time Elapsed : 21
=> GET RESOURCES : 10/13/2015 5:43:59 PM -> Menu ID : 6, rID : 0, Time Elapsed : 26
=> GET RESOURCES : 10/13/2015 5:48:53 PM -> Menu ID : 6, rID : 0, Time Elapsed : 20
=> GET RESOURCES : 10/13/2015 5:49:11 PM -> Menu ID : 6, rID : 0, Time Elapsed : 32
=> GET RESOURCES : 10/13/2015 5:49:15 PM -> Menu ID : 4, rID : 0, Time Elapsed : 22
=> GET RESOURCES : 10/13/2015 5:49:16 PM -> Menu ID : 5, rID : 3014, Time Elapsed : 142
=> GET RESOURCES : 10/13/2015 5:49:34 PM -> Menu ID : 5, rID : 3014, Time Elapsed : 135
=> GET RESOURCES : 10/13/2015 5:49:38 PM -> Menu ID : 4, rID : 0, Time Elapsed : 22
=> GET RESOURCES : 10/13/2015 5:49:40 PM -> Menu ID : 5, rID : 3014, Time Elapsed : 64
=> GET RESOURCES : 10/13/2015 5:50:29 PM -> Menu ID : 5, rID : 3014, Time Elapsed : 152
=> GET RESOURCES : 10/13/2015 5:50:31 PM -> Menu ID : 4, rID : 0, Time Elapsed : 25
=> GET RESOURCES : 10/13/2015 5:50:37 PM -> Menu ID : 4, rID : 0, Time Elapsed : 27
=> GET RESOURCES : 10/13/2015 5:50:59 PM -> Menu ID : 4, rID : 0, Time Elapsed : 43
=> GET RESOURCES : 10/13/2015 5:51:09 PM -> Menu ID : 4, rID : 0, Time Elapsed : 30
=> GET RESOURCES : 10/13/2015 5:51:16 PM -> Menu ID : 4, rID : 0, Time Elapsed : 28
=> GET RESOURCES : 10/13/2015 5:52:08 PM -> Menu ID : 4, rID : 0, Time Elapsed : 28
=> GET RESOURCES : 10/13/2015 5:52:24 PM -> Menu ID : 4, rID : 0, Time Elapsed : 40
=> GET RESOURCES : 10/13/2015 5:59:20 PM -> Menu ID : 4, rID : 0, Time Elapsed : 24
